time,frequency,confidence
2.450,331.213,0.256199
2.460,327.766,0.155706
2.470,442.059,0.118268
2.480,326.609,0.160309
2.490,326.689,0.465973
2.500,328.480,0.517681
2.510,331.044,0.681192
2.520,330.549,0.106862
2.530,110.544,0.147231
2.540,32.717,0.388498
2.550,440.419,0.276852
2.560,440.974,0.336301
2.570,441.266,0.262791
2.580,441.303,0.113762
2.590,447.013,0.081281
2.600,448.679,0.217822
2.610,329.703,0.324135
2.620,327.891,0.270331
2.630,328.781,0.543429
2.640,329.407,0.627840
2.650,329.040,0.336943
2.660,328.871,0.449527
2.670,327.807,0.691933
2.680,329.175,0.851819
2.690,327.328,0.647029
2.700,319.815,0.244129
2.710,321.964,0.188812
2.720,325.875,0.490896
2.730,329.625,0.395124
2.740,328.979,0.502525
2.750,329.990,0.605997
2.760,330.556,0.589542
2.770,330.615,0.540850
2.780,330.621,0.229555
2.790,438.472,0.518056
2.800,440.599,0.673175
2.810,442.377,0.620248
2.820,441.110,0.434594
2.830,437.429,0.400995
2.840,64.030,0.285457
2.850,63.792,0.595228
2.860,64.288,0.436363
2.870,326.361,0.450757
2.880,328.493,0.496392
2.890,329.993,0.557284
2.900,326.723,0.398531
2.910,329.785,0.431558
2.920,328.957,0.092032
2.930,64.824,0.294789
2.940,64.851,0.380264
2.950,328.582,0.303815
2.960,329.250,0.657464
2.970,329.662,0.753936
2.980,327.443,0.254314
2.990,64.865,0.075853
3.000,64.226,0.176208
3.010,324.763,0.283605
3.020,325.926,0.769591
3.030,326.483,0.800557
3.040,327.605,0.841560
3.050,329.637,0.826381
3.060,328.260,0.748022
3.070,327.452,0.484363
3.080,327.695,0.094978
3.090,55.219,0.096182
3.100,329.685,0.594984
3.110,331.564,0.837187
3.120,332.129,0.718096
3.130,331.274,0.590638
3.140,440.333,0.230259
3.150,327.437,0.208327
3.160,331.339,0.405968
3.170,331.171,0.727497
3.180,329.565,0.765476
3.190,328.095,0.611491
3.200,327.882,0.566338
3.210,326.728,0.423269
3.220,327.993,0.284641
3.230,326.707,0.222316
3.240,63.018,0.130632
3.250,63.444,0.128236
3.260,328.382,0.517714
3.270,328.411,0.347421
3.280,326.531,0.156649
3.290,327.067,0.274774
3.300,323.390,0.229842
3.310,323.472,0.576550
3.320,325.693,0.534952
3.330,326.638,0.591433
3.340,327.378,0.418067
3.350,326.620,0.390142
3.360,329.992,0.111101
3.370,371.539,0.066411
3.380,54.940,0.104777
3.390,64.561,0.234771
3.400,54.969,0.238680
3.410,329.805,0.082970
3.420,64.419,0.111342
3.430,64.619,0.205046
3.440,452.004,0.104222
3.450,38.843,0.280097
3.460,323.449,0.150509
3.470,327.814,0.340243
3.480,326.603,0.560007
3.490,326.023,0.379734
3.500,326.084,0.252503
3.510,325.967,0.185520
3.520,64.588,0.184608
3.530,55.372,0.152502
3.540,54.780,0.099306
3.550,61.626,0.057833
3.560,54.926,0.200805
3.570,63.593,0.157130
3.580,64.247,0.342915
3.590,324.841,0.148226
3.600,322.996,0.220641
3.610,323.187,0.141429
3.620,325.066,0.167596
3.630,327.885,0.141628
3.640,329.605,0.588223
3.650,331.922,0.399354
3.660,331.023,0.429571
3.670,326.348,0.220531
3.680,328.372,0.279052
3.690,327.447,0.176229
3.700,325.722,0.496350
3.710,322.938,0.541257
3.720,63.696,0.535687
3.730,321.911,0.197696
3.740,319.779,0.147790
3.750,320.780,0.101947
3.760,323.456,0.220261
3.770,325.904,0.355650
3.780,327.334,0.153464
3.790,36.111,0.093021
3.800,437.196,0.131785
3.810,54.845,0.225816
3.820,55.092,0.310490
3.830,55.295,0.118632
3.840,330.709,0.214870
3.850,331.973,0.208597
3.860,330.158,0.234878
3.870,329.477,0.633084
3.880,324.620,0.450110
3.890,324.837,0.522090
3.900,325.956,0.738192
3.910,324.628,0.355065
3.920,321.697,0.323467
3.930,321.729,0.493021
3.940,324.362,0.690349
3.950,325.353,0.723475
3.960,324.079,0.694135
3.970,323.443,0.318799
3.980,442.941,0.088049
3.990,34.729,0.522022
4.000,35.187,0.059843
4.010,33.800,0.118690
4.020,33.966,0.163210
4.030,41.644,0.067475
4.040,41.613,0.136763
4.050,330.712,0.126184
4.060,39.173,0.160402
4.070,38.928,0.201606
4.080,39.596,0.195672
4.090,39.987,0.192488
4.100,40.069,0.283381
4.110,39.876,0.103212
4.120,39.134,0.181822
4.130,39.051,0.139768
4.140,64.147,0.084194
4.150,39.858,0.175683
4.160,39.865,0.178663
4.170,39.638,0.247183
4.180,39.141,0.144293
4.190,39.103,0.182244
4.200,440.785,0.287449
4.210,441.999,0.124150
4.220,443.835,0.251388
4.230,39.980,0.159831
4.240,441.100,0.117038
4.250,440.069,0.293441
4.260,441.428,0.132475
4.270,440.694,0.168527
4.280,323.507,0.223071
4.290,321.928,0.141826
4.300,319.163,0.225307
4.310,321.563,0.238716
